detector_name,detector_id,x_offset,y_offset,x_pixels,y_pixels,detector_type,physical_type,serial
R01_S00,0,-169.25,-296.25,0.01,0.01,0,ITL,ITL-3800C-083
R01_S01,1,-127.0,-296.25,0.01,0.01,0,ITL,ITL-3800C-226
R01_S02,2,-84.75,-296.25,0.01,0.01,0,ITL,ITL-3800C-136
R01_S10,3,-169.25,-254.0,0.01,0.01,0,ITL,ITL-3800C-034
R01_S11,4,-127.0,-254.0,0.01,0.01,0,ITL,ITL-3800C-072
R01_S12,5,-84.75,-254.0,0.01,0.01,0,ITL,ITL-3800C-095
R01_S20,6,-169.25,-211.75,0.01,0.01,0,ITL,ITL-3800C-164
R01_S21,7,-127.0,-211.75,0.01,0.01,0,ITL,ITL-3800C-227
R01_S22,8,-84.75,-211.75,0.01,0.01,0,ITL,ITL-3800C-231
R02_S00,9,-42.25,-296.25,0.01,0.01,0,ITL,ITL-3800C-269
R02_S01,10,0.0,-296.25,0.01,0.01,0,ITL,ITL-3800C-261
R02_S02,11,42.25,-296.25,0.01,0.01,0,ITL,ITL-3800C-205
R02_S10,12,-42.25,-254.0,0.01,0.01,0,ITL,ITL-3800C-160
R02_S11,13,0.0,-254.0,0.01,0.01,0,ITL,ITL-3800C-244
R02_S12,14,42.25,-254.0,0.01,0.01,0,ITL,ITL-3800C-157
R02_S20,15,-42.25,-211.75,0.01,0.01,0,ITL,ITL-3800C-423
R02_S21,16,0.0,-211.75,0.01,0.01,0,ITL,ITL-3800C-318
R02_S22,17,42.25,-211.75,0.01,0.01,0,ITL,ITL-3800C-376
R03_S00,18,84.75,-296.25,0.01,0.01,0,ITL,ITL-3800C-342
R03_S01,19,127.0,-296.25,0.01,0.01,0,ITL,ITL-3800C-210
R03_S02,20,169.25,-296.25,0.01,0.01,0,ITL,ITL-3800C-467
R03_S10,21,84.75,-254.0,0.01,0.01,0,ITL,ITL-3800C-432
R03_S11,22,127.0,-254.0,0.01,0.01,0,ITL,ITL-3800C-454
R03_S12,23,169.25,-254.0,0.01,0.01,0,ITL,ITL-3800C-451
R03_S20,24,84.75,-211.75,0.01,0.01,0,ITL,ITL-3800C-088
R03_S21,25,127.0,-211.75,0.01,0.01,0,ITL,ITL-3800C-461
R03_S22,26,169.25,-211.75,0.01,0.01,0,ITL,ITL-3800C-458
R10_S00,27,-296.25,-169.25,0.01,0.01,0,ITL,ITL-3800C-466
R10_S01,28,-254.0,-169.25,0.01,0.01,0,ITL,ITL-3800C-040
R10_S02,29,-211.75,-169.25,0.01,0.01,0,ITL,ITL-3800C-167
R10_S10,30,-296.25,-127.0,0.01,0.01,0,ITL,ITL-3800C-223
