# Table 16 of Leinert et al. (2017)
# https://doi.org/10.1051/aas:1998105
inf	0	5	10	15	20	25	30	45	60	75
0	inf	inf	inf	2450	1260	770	500	215	117	78
5	inf	inf	inf	2300	1200	740	490	212	117	78
10	inf	inf	3700	1930	1070	675	460	206	116	78
15	9000	5300	2690	1450	870	590	410	196	114	78
20	5000	3500	1880	1100	710	495	355	185	110	77
25	3000	2210	1350	860	585	425	320	174	106	76
30	1940	1460	955	660	480	365	285	162	102	74
35	1290	990	710	530	400	310	250	151	98	73
40	925	735	545	415	325	264	220	140	94	72
45	710	570	435	345	278	228	195	130	91	70
60	395	345	275	228	190	163	143	105	81	67
75	264	248	210	177	153	134	118	91	73	64
90	202	196	176	151	130	115	103	81	67	62
105	166	164	154	133	117	104	93	75	64	60
120	147	145	138	120	108	98	88	70	60	58
135	140	139	130	115	105	95	86	70	60	57
150	140	139	129	116	107	99	91	75	62	56
165	153	150	140	129	118	110	102	81	64	56
180	180	166	152	139	127	116	105	82	65	56
