energy_mev,dedx_mev_per_g_cm2
5.109989499961081e-04,1.132337860360386e+02
5.229016445938480e-04,1.123764312313541e+02
5.350815885650132e-04,1.114996153796144e+02
5.475452398769936e-04,1.106046700644665e+02
5.602992069228194e-04,1.096928763323162e+02
5.733502520246063e-04,1.087654663031195e+02
5.867052950191498e-04,1.078236247340359e+02
6.003714169271407e-04,1.068684905372198e+02
6.143558637072550e-04,1.059011582530805e+02
6.286660500981759e-04,1.049226794802177e+02
6.433095635502559e-04,1.039340642632193e+02
6.582941682481745e-04,1.029362824395981e+02
6.736278092276602e-04,1.019302649468804e+02
6.893186165880885e-04,1.009169050910402e+02
7.053749098033415e-04,9.989705977732774e+01
7.218052021324021e-04,9.887155070461125e+01
7.386182051338819e-04,9.784116552414397e+01
7.558228332844827e-04,9.680665896386367e+01
7.734282087058166e-04,9.576875391912915e+01
7.914436660008325e-04,9.472814251087212e+01
8.098787572037084e-04,9.368548711204157e+01
8.287432568435465e-04,9.264142134333272e+01
8.480471671280032e-04,9.159655103889423e+01
8.678007232455998e-04,9.055145518308021e+01
8.880143987934145e-04,8.950668681885487e+01
9.086989113296974e-04,8.846277392883789e+01
9.298652280568549e-04,8.742022028961217e+01
9.515245716360571e-04,8.637950630018052e+01
9.736884261381116e-04,8.534108978520074e+01
9.963685431320856e-04,8.430540677379804e+01
1.019576947915986e-03,8.327287225462555e+01
1.043325945893468e-03,8.224388090778692e+01
1.067628129097477e-03,8.121880781442007e+01
1.092496382867189e-03,8.019800914444184e+01
1.117943892680161e-03,7.918182282313981e+01
1.143984151142659e-03,7.817056917727547e+01
1.170630965144502e-03,7.716455156114372e+01
1.197898463179235e-03,7.616405696329834e+01
1.225801102835164e-03,7.516935659445778e+01
1.254353678461258e-03,7.418070645709055e+01
1.283571329010945e-03,7.319834789727302e+01
1.313469546069396e-03,7.222250813929826e+01
1.344064182066993e-03,7.125340080353122e+01
1.375371458684788e-03,7.029122640801674e+01
1.407407975455113e-03,6.933617285429737e+01
1.440190718563252e-03,6.838841589790218e+01
1.473737069853469e-03,6.744811960395197e+01
1.508064816045503e-03,6.651543678831628e+01
1.543192158164494e-03,6.559050944475774e+01
1.579137721192392e-03,6.467346915843488e+01
1.615920563942328e-03,6.376443750620953e+01
1.653560189164557e-03,6.286352644411147e+01
1.692076553886482e-03,6.197083868235618e+01
1.731490079994594e-03,6.108646804826952e+01
1.771821665062161e-03,6.021049983748278e+01
1.813092693429382e-03,5.934301115374811e+01
1.855325047541679e-03,5.848407123770026e+01
1.898541119552352e-03,5.763374178488612e+01
1.942763823194718e-03,5.679207725341358e+01
1.988016605931780e-03,5.595912516147907e+01
2.034323461387750e-03,5.513492637512442e+01
2.081708942070370e-03,5.431951538646983e+01
2.130198172388817e-03,5.351292058273234e+01
2.179816861974786e-03,5.271516450631576e+01
2.230591319314228e-03,5.192626410620034e+01
2.282548465696466e-03,5.114623098093072e+01
2.335715849488368e-03,5.037507161343608e+01
2.390121660740531e-03,4.961278759793680e+01
2.445794746134308e-03,4.885937585916498e+01
2.502764624276262e-03,4.811482886415129e+01
2.561061501350147e-03,4.737913482676738e+01
2.620716287131526e-03,4.665227790529642e+01
2.681760611377725e-03,4.593423839318544e+01
2.744226840597441e-03,4.522499290323454e+01
2.808148095212145e-03,4.452451454539999e+01
2.873558267117101e-03,4.383277309840102e+01
2.940492037651320e-03,4.314973517534111e+01
3.008984895985966e-03,4.247536438350885e+01
3.079073157941091e-03,4.180962147855114e+01
3.150793985240911e-03,4.115246451317977e+01
