wavelength,transmission
1400.0,0.0
1450.0,0.0
1500.0,0.0
1550.0,0.0
1600.0,0.000239
1650.0,0.0927
1700.0,0.687
1750.0,0.886
1800.0,0.94
1850.0,0.968
1900.0,0.985
1950.0,0.99
2000.0,0.993
2050.0,0.996
2100.0,0.998
2150.0,0.999
2200.0,0.999
2250.0,0.999
2300.0,0.999
2350.0,0.999
2400.0,1.0
2450.0,1.0
2500.0,1.0
2550.0,1.0
2600.0,1.0
2650.0,1.0
2700.0,1.0
2750.0,1.0
2800.0,1.0
2850.0,1.0
2900.0,1.0
2950.0,1.0
3000.0,1.0
4000.0,1.0
5000.0,1.0
6000.0,1.0
7000.0,1.0
8000.0,1.0
9000.0,1.0
10000.0,1.0
11000.0,1.0
12000.0,1.0
13000.0,1.0
13800.0,0.902
14000.0,0.951
15000.0,1.0
16000.0,1.0
17000.0,1.0
18000.0,0.999
19000.0,0.996
20000.0,0.995
20300.0,0.992
20500.0,0.988
20800.0,0.986
21000.0,0.986
21300.0,0.981
21500.0,0.964
21800.0,0.933
22000.0,0.765
22100.0,0.681
22300.0,0.723
22500.0,0.767
22600.0,0.779
22800.0,0.844
23000.0,0.908
23300.0,0.94
23500.0,0.953
23800.0,0.955
24000.0,0.947
24300.0,0.927
24500.0,0.903
24800.0,0.88
25000.0,0.842
25300.0,0.786
25500.0,0.717
25800.0,0.655
26000.0,0.605
26300.0,0.556
26500.0,0.458
26800.0,0.18
27000.0,1.05e-05
27200.0,1e-08
27300.0,1e-08
27500.0,2.9e-07
27800.0,3.41e-05
28000.0,0.00171
28300.0,0.0321
28500.0,0.162
28800.0,0.345
29000.0,0.494
29300.0,0.599
29500.0,0.67
29800.0,0.718
30000.0,0.751
30300.0,0.776
30500.0,0.794
30800.0,0.808
31000.0,0.814
31300.0,0.819
50000.0,0.0
