Field,RA,Dec,V180,V45,A_U<1,AU
1,54.18,-86.81,1,1,1,0.84
2,247.89,-79.28,1,1,1,0.86
3,321.46,-76.71,1,1,1,0.7
4,181.26,-76.36,1,1,0,1.74
5,124.72,-75.85,1,1,0,1.08
6,57.43,-72.92,1,1,1,0.54
7,13.35,-72.55,1,1,1,0.28
8,282.05,-68.25,0,1,1,0.53
9,92.19,-67.34,1,1,1,0.91
10,212.52,-66.69,0,1,0,8.74
11,246.08,-65.64,0,1,1,0.95
12,150.17,-64.6,1,1,0,2.91
13,346.19,-63.66,1,1,1,0.16
14,314.85,-63.24,0,1,1,0.3
15,180.55,-62.37,1,1,0,7.85
16,120.39,-61.01,1,1,0,1.11
17,42.47,-60.38,1,1,1,0.2
18,16.14,-58.95,1,1,1,0.13
19,69.14,-58.34,1,1,1,0.14
20,267.71,-55.5,0,1,1,0.84
21,291.12,-54.8,0,1,1,0.43
22,95.26,-54.27,1,1,1,0.49
23,224.66,-53.96,0,0,0,9.27
24,201.98,-53.31,0,1,0,2.02
25,245.89,-51.95,0,0,0,15.23
26,160.17,-51.85,1,1,0,3.4
27,333.63,-51.81,0,1,1,0.12
28,137.43,-51.31,1,1,0,6.35
29,356.47,-50.67,0,1,1,0.08
30,312.01,-49.81,0,1,1,0.26
31,181.26,-48.75,0,1,1,0.88
32,115.76,-47.5,1,1,0,1.7
33,36.62,-47.48,1,1,1,0.14
34,56.79,-47.09,1,1,1,0.09
35,17.12,-45.65,0,1,1,0.09
36,77.6,-45.47,1,1,1,0.16
37,274.37,-42.82,0,0,1,0.85
38,216.73,-41.57,0,0,1,0.68
39,97.25,-41.43,1,1,1,0.54
40,292.69,-41.38,0,0,1,0.71
41,255.94,-41.04,0,0,0,16.28
42,235.79,-40.3,0,0,0,2.09
43,148.3,-39.91,0,1,0,1.29
44,198.56,-39.85,0,0,1,0.56
45,343.33,-39.48,0,1,1,0.1
46,325.99,-38.64,0,0,1,0.22
47,166.43,-38.41,0,1,1,0.66
48,130.49,-37.96,0,1,0,5.42
49,0.83,-37.32,0,1,1,0.09
50,309.09,-36.74,0,0,1,0.42
51,182.28,-35.26,0,0,1,0.55
52,49.26,-34.78,1,1,1,0.11
53,32.82,-34.47,0,1,1,0.12
54,66.13,-34.38,1,1,1,0.14
55,114.03,-33.98,1,1,0,3
56,16.71,-32.46,0,1,1,0.12
57,82.8,-32.37,1,1,1,0.19
58,282.62,-30.12,0,0,0,1.1
59,267.02,-29.61,0,0,0,17.34
60,222.62,-29.01,0,0,1,0.8
61,98.87,-28.6,1,1,1,0.6
62,251.54,-28.5,0,0,0,2.85
63,207.23,-28.33,0,0,1,0.44
64,157.25,-27.91,0,0,1,0.46
65,237.12,-27.09,0,0,0,1.24
66,298.6,-27.08,0,0,1,0.76
67,141.58,-26.82,0,1,1,0.73
68,347.64,-26.67,0,0,1,0.16
69,332.02,-26.22,0,0,1,0.19
70,191.95,-25.36,0,0,1,0.54
71,316.73,-25.21,0,0,1,0.46
72,127.05,-24.12,0,1,1,0.96
73,174.65,-23.74,0,0,1,0.37
74,1.84,-23.61,0,0,1,0.13
75,57.84,-22.09,0,1,1,0.25
76,43.34,-21.94,0,1,1,0.16
77,29.1,-21.2,0,1,1,0.12
78,72.31,-21.14,0,1,1,0.31
79,113.32,-20.3,0,1,0,3.55
80,15.1,-19.33,0,0,1,0.13
81,86.41,-18.89,0,1,1,0.6
82,288.58,-17.51,0,0,0,1.11
83,274.01,-17.31,0,0,0,15.99
84,216.31,-16.49,0,0,1,0.59
85,259.66,-16.44,0,0,0,2.67
86,162.94,-16.2,0,0,1,0.35
87,306.53,-15.84,0,0,1,0.53
88,100.19,-15.57,0,1,0,2.22
89,245.31,-15.24,0,0,0,2.07
90,201.45,-15.16,0,0,1,0.47
91,339.97,-14.98,0,0,1,0.28
92,230.29,-14.95,0,0,1,0.76
93,148.78,-14.8,0,0,1,0.38
94,323.67,-13.63,0,0,1,0.36
95,185.47,-13.55,0,0,1,0.33
96,135.26,-12.54,0,0,1,0.39
97,353.76,-12.23,0,0,1,0.21
98,50.48,-9.48,0,0,1,0.41
99,122.09,-9.38,0,0,1,0.56
100,64.57,-9.16,0,1,1,0.49
101,36.3,-9.02,0,0,1,0.17
102,7.1,-8.51,0,0,1,0.24
103,172.99,-7.94,0,0,1,0.27
104,22.16,-7.77,0,0,1,0.25
105,78.55,-7.49,0,1,0,1.26
